OBJ_Critical= 0.50  0.40
      fOBJ            LF0             r0            fRa           fINP             VP            KP1            fKM           PAR2           Qmax            Kba           Kdes             rE            pEP           fpEM             fD             gD             Vg          alpha             KD             Yg           Ygsl            Q10          gamma           beta          WPA2D            tau          wdorm        VNup_MB       KsNH4_MB       KsNO3_MB           VNif           VNit        VDenit1           PAR3          KsNif          KsNit       KsDenit1       KsDenit2        VNup_VG       KsNH4_VG       KsNO3_VG      fVNup_NO3       Qmax_NH4        Kba_NH4           Kp2u           Ku2p
 0.553         0.10000000     0.01000000     0.20000000     0.30000000    50.00000000    60.00000000    10.00000000   999.00000000     1.50000000     6.00000000     0.00600000     0.00170013     0.00583275     3.44116298     0.71311145     0.78062409     0.00446467     0.07009236     0.00010222     0.20000000     0.00987529     1.55921143     0.10000000     0.00100000     0.40000000     0.25000000     4.00000000     0.09931317     0.00018000     0.00041000     0.00289988    49.54672554     0.09998812   999.00000000     0.00100000     0.00120000     0.00180000     0.00180000     0.00007048     0.00120000     0.00180000     0.89998796     0.00997539   100.00000000     0.00000500     0.00100000
 0.557         0.10000000     0.01000000     0.20000000     0.30000000    50.00000000    60.00000000    10.00000000   999.00000000     1.50000000     6.00000000     0.00600000     0.00121276     0.01592010     4.33447666     0.80463607     0.77515551     0.00446467     0.08265742     0.00010222     0.20000000     0.00357561     1.50000000     0.10000000     0.00100000     0.40000000     0.25000000     4.00000000     0.09931317     0.00018000     0.00041000     0.00289988    49.54672554     0.09998812   999.00000000     0.00100000     0.00120000     0.00180000     0.00180000     0.00007048     0.00120000     0.00180000     0.89998796     0.00997539   100.00000000     0.00000500     0.00100000
 0.564         0.10000000     0.01000000     0.20000000     0.30000000    50.00000000    60.00000000    10.00000000   999.00000000     1.50000000     6.00000000     0.00600000     0.00082879     0.00430763     3.51915873     0.68523741     0.77515551     0.00446467     0.13455576     0.00010222     0.20000000     0.01273418     1.50000000     0.10000000     0.00100000     0.40000000     0.25000000     4.00000000     0.09931317     0.00018000     0.00041000     0.00289988    49.54672554     0.09998812   999.00000000     0.00100000     0.00120000     0.00180000     0.00180000     0.00007048     0.00120000     0.00180000     0.89998796     0.00997539   100.00000000     0.00000500     0.00100000
 0.631         0.10000000     0.01000000     0.20000000     0.30000000    50.00000000    60.00000000    10.00000000   999.00000000     1.50000000     6.00000000     0.00600000     0.00149688     0.00765211     4.97183204     0.79255463     0.84077851     0.00446467     0.25804335     0.00010222     0.20000000     0.01023003     1.85526860     0.10000000     0.00100000     0.40000000     0.25000000     4.00000000     0.09931317     0.00018000     0.00041000     0.00289988    49.54672554     0.09998812   999.00000000     0.00100000     0.00120000     0.00180000     0.00180000     0.00007048     0.00120000     0.00180000     0.89998796     0.00997539   100.00000000     0.00000500     0.00100000
 0.657         0.10000000     0.01000000     0.20000000     0.30000000    50.00000000    60.00000000    10.00000000   999.00000000     1.50000000     6.00000000     0.00600000     0.00121276     0.00765211     4.33447666     0.75667964     0.77515551     0.00446467     0.17460522     0.00010222     0.20000000     0.00310960     1.85526860     0.10000000     0.00100000     0.40000000     0.25000000     4.00000000     0.09931317     0.00018000     0.00041000     0.00289988    49.54672554     0.09998812   999.00000000     0.00100000     0.00120000     0.00180000     0.00180000     0.00007048     0.00120000     0.00180000     0.89998796     0.00997539   100.00000000     0.00000500     0.00100000
 0.670         0.10000000     0.01000000     0.20000000     0.30000000    50.00000000    60.00000000    10.00000000   999.00000000     1.50000000     6.00000000     0.00600000     0.00077658     0.00430763     3.17320534     0.68523741     0.58178836     0.00446467     0.27005932     0.00010222     0.20000000     0.00728891     1.50000000     0.10000000     0.00100000     0.40000000     0.25000000     4.00000000     0.09931317     0.00018000     0.00041000     0.00289988    49.54672554     0.09998812   999.00000000     0.00100000     0.00120000     0.00180000     0.00180000     0.00007048     0.00120000     0.00180000     0.89998796     0.00997539   100.00000000     0.00000500     0.00100000
 0.740         0.10000000     0.01000000     0.20000000     0.30000000    50.00000000    60.00000000    10.00000000   999.00000000     1.50000000     6.00000000     0.00600000     0.00516501     0.00430763     3.92017983     0.68523741     0.54927282     0.00446467     0.20879048     0.00010222     0.20000000     0.00588813     1.50000000     0.10000000     0.00100000     0.40000000     0.25000000     4.00000000     0.09931317     0.00018000     0.00041000     0.00289988    49.54672554     0.09998812   999.00000000     0.00100000     0.00120000     0.00180000     0.00180000     0.00007048     0.00120000     0.00180000     0.89998796     0.00997539   100.00000000     0.00000500     0.00100000
 0.960         0.10000000     0.01000000     0.20000000     0.30000000    50.00000000    60.00000000    10.00000000   999.00000000     1.50000000     6.00000000     0.00600000     0.00145025     0.03694252     1.95598365     0.38243905     0.59167470     0.04417767     0.25479939     0.02698188     0.20000000     0.00545378     1.80897159     0.10000000     0.00100000     0.40000000     0.25000000     4.00000000     0.09931317     0.00018000     0.00041000     0.00289988    49.54672554     0.09998812   999.00000000     0.00100000     0.00120000     0.00180000     0.00180000     0.00007048     0.00120000     0.00180000     0.89998796     0.00997539   100.00000000     0.00000500     0.00100000
 0.965         0.10000000     0.01000000     0.20000000     0.30000000    50.00000000    60.00000000    10.00000000   999.00000000     1.50000000     6.00000000     0.00600000     0.00399773     0.03694252     3.00882919     0.38243905     0.37715723     0.04417767     0.22908145     0.02698188     0.20000000     0.00529550     1.80897159     0.10000000     0.00100000     0.40000000     0.25000000     4.00000000     0.09931317     0.00018000     0.00041000     0.00289988    49.54672554     0.09998812   999.00000000     0.00100000     0.00120000     0.00180000     0.00180000     0.00007048     0.00120000     0.00180000     0.89998796     0.00997539   100.00000000     0.00000500     0.00100000
  1.14         0.10000000     0.01000000     0.20000000     0.30000000    50.00000000    60.00000000    10.00000000   999.00000000     1.50000000     6.00000000     0.00600000     0.00154087     0.01434321     2.14642210     0.61947498     0.29917201     0.08989511     0.26448015     0.11973966     0.20000000     0.00658243     2.22539636     0.10000000     0.00100000     0.40000000     0.25000000     4.00000000     0.09931317     0.00018000     0.00041000     0.00289988    49.54672554     0.09998812   999.00000000     0.00100000     0.00120000     0.00180000     0.00180000     0.00007048     0.00120000     0.00180000     0.89998796     0.00997539   100.00000000     0.00000500     0.00100000
  1.14         0.10000000     0.01000000     0.20000000     0.30000000    50.00000000    60.00000000    10.00000000   999.00000000     1.50000000     6.00000000     0.00600000     0.00154087     0.01434321     2.54934916     0.61947498     0.28708327     0.08989511     0.26448015     0.11973966     0.20000000     0.00445074     2.22539636     0.10000000     0.00100000     0.40000000     0.25000000     4.00000000     0.09931317     0.00018000     0.00041000     0.00289988    49.54672554     0.09998812   999.00000000     0.00100000     0.00120000     0.00180000     0.00180000     0.00007048     0.00120000     0.00180000     0.89998796     0.00997539   100.00000000     0.00000500     0.00100000
  1.17         0.10000000     0.01000000     0.20000000     0.30000000    50.00000000    60.00000000    10.00000000   999.00000000     1.50000000     6.00000000     0.00600000     0.00252916     0.02747076     2.17765636     0.54679594     0.56550670     0.08415555     0.20104018     0.15426846     0.20000000     0.00983340     2.25673452     0.10000000     0.00100000     0.40000000     0.25000000     4.00000000     0.09931317     0.00018000     0.00041000     0.00289988    49.54672554     0.09998812   999.00000000     0.00100000     0.00120000     0.00180000     0.00180000     0.00007048     0.00120000     0.00180000     0.89998796     0.00997539   100.00000000     0.00000500     0.00100000
  1.17         0.10000000     0.01000000     0.20000000     0.30000000    50.00000000    60.00000000    10.00000000   999.00000000     1.50000000     6.00000000     0.00600000     0.00154087     0.01434321     1.31010129     0.61947498     0.57117314     0.08989511     0.26423432     0.11973966     0.20000000     0.00658243     2.40695136     0.10000000     0.00100000     0.40000000     0.25000000     4.00000000     0.09931317     0.00018000     0.00041000     0.00289988    49.54672554     0.09998812   999.00000000     0.00100000     0.00120000     0.00180000     0.00180000     0.00007048     0.00120000     0.00180000     0.89998796     0.00997539   100.00000000     0.00000500     0.00100000
  1.18         0.10000000     0.01000000     0.20000000     0.30000000    50.00000000    60.00000000    10.00000000   999.00000000     1.50000000     6.00000000     0.00600000     0.00035662     0.06557471     3.53517909     0.63266830     0.72786286     0.09902258     0.04399657     0.04204184     0.20000000     0.00276975     2.42509053     0.10000000     0.00100000     0.40000000     0.25000000     4.00000000     0.09931317     0.00018000     0.00041000     0.00289988    49.54672554     0.09998812   999.00000000     0.00100000     0.00120000     0.00180000     0.00180000     0.00007048     0.00120000     0.00180000     0.89998796     0.00997539   100.00000000     0.00000500     0.00100000
  1.20         0.10000000     0.01000000     0.20000000     0.30000000    50.00000000    60.00000000    10.00000000   999.00000000     1.50000000     6.00000000     0.00600000     0.00154087     0.01434321     1.96913638     0.61947498     0.73948892     0.08989511     0.24011204     0.11973966     0.20000000     0.01098663     2.40695136     0.10000000     0.00100000     0.40000000     0.25000000     4.00000000     0.09931317     0.00018000     0.00041000     0.00289988    49.54672554     0.09998812   999.00000000     0.00100000     0.00120000     0.00180000     0.00180000     0.00007048     0.00120000     0.00180000     0.89998796     0.00997539   100.00000000     0.00000500     0.00100000
  1.22         0.10000000     0.01000000     0.20000000     0.30000000    50.00000000    60.00000000    10.00000000   999.00000000     1.50000000     6.00000000     0.00600000     0.00832794     0.03945387     1.21271939     0.60463848     0.84355876     0.05537623     0.17137484     0.07936929     0.20000000     0.00236300     1.45284438     0.10000000     0.00100000     0.40000000     0.25000000     4.00000000     0.09931317     0.00018000     0.00041000     0.00289988    49.54672554     0.09998812   999.00000000     0.00100000     0.00120000     0.00180000     0.00180000     0.00007048     0.00120000     0.00180000     0.89998796     0.00997539   100.00000000     0.00000500     0.00100000
